date,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,anomaly
2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,187,-1
2011-01-08,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,95,-1
2011-01-08,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,74,-1
2011-01-08,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,76,-1
2011-01-08,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,69,-1
2011-01-08,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,22,-1
2011-01-09,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,12,-1
2011-01-09,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,11,-1
2011-01-09,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,4,-1
2011-01-09,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,19,-1
2011-01-09,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,49,-1
2011-01-11,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,51,-1
2011-01-12,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,55,-1
2011-01-12,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,137,-1
2011-01-21,1,0,1,12,0,5,1,1,0.22,0.1818,0.27,0.5821,78,-1
2011-01-21,1,0,1,13,0,5,1,1,0.2,0.1515,0.21,0.5821,73,-1
2011-01-21,1,0,1,14,0,5,1,1,0.2,0.1515,0.25,0.5224,62,-1
2011-01-21,1,0,1,15,0,5,1,1,0.16,0.1212,0.26,0.4478,65,-1
2011-01-21,1,0,1,16,0,5,1,1,0.16,0.1364,0.26,0.3582,97,-1
2011-01-21,1,0,1,17,0,5,1,1,0.14,0.1212,0.28,0.3582,161,-1
2011-01-21,1,0,1,19,0,5,1,1,0.12,0.1061,0.3,0.3284,96,-1
2011-01-21,1,0,1,20,0,5,1,1,0.1,0.0758,0.33,0.4179,53,-1
2011-01-21,1,0,1,22,0,5,1,1,0.06,0.0303,0.41,0.3881,34,-1
2011-01-22,1,0,1,1,0,6,0,2,0.04,0.0,0.41,0.3881,12,-1
2011-01-22,1,0,1,13,0,6,0,1,0.08,0.1667,0.35,0.0,84,-1
2011-01-22,1,0,1,15,0,6,0,1,0.12,0.1515,0.28,0.0,103,-1
2011-01-22,1,0,1,17,0,6,0,1,0.12,0.197,0.28,0.0,67,-1
2011-01-22,1,0,1,22,0,6,0,1,0.06,0.1515,0.49,0.0,30,-1
2011-01-23,1,0,1,12,0,0,0,1,0.16,0.1212,0.37,0.4627,116,-1
2011-01-23,1,0,1,17,0,0,0,1,0.14,0.1061,0.26,0.3881,55,-1
2011-01-24,1,0,1,7,0,1,1,1,0.02,0.1212,0.48,0.0,84,-1
2011-01-24,1,0,1,8,0,1,1,1,0.04,0.1364,0.49,0.0,177,-1
2011-01-24,1,0,1,9,0,1,1,1,0.06,0.1515,0.41,0.0,102,-1
2011-01-24,1,0,1,10,0,1,1,1,0.1,0.1364,0.42,0.0,40,-1
2011-01-26,1,0,1,15,0,3,1,3,0.22,0.1818,0.93,0.4627,43,-1
2011-01-30,1,0,1,3,0,0,0,1,0.14,0.2121,0.93,0.0,8,-1
2011-01-30,1,0,1,4,0,0,0,1,0.14,0.2121,0.93,0.0,1,-1
2011-02-01,1,0,2,5,0,2,1,3,0.14,0.2121,0.93,0.0,3,-1
2011-02-01,1,0,2,6,0,2,1,3,0.14,0.2121,0.93,0.0,22,-1
2011-02-01,1,0,2,7,0,2,1,3,0.16,0.2273,0.93,0.0,52,-1
